coda_id,audio_file,date,unit,unit_num,clan,individual_id,coda_type,is_noise,n_clicks,duration_sec,ici_sequence,n_ici,handv,whale_name,f1pk_hz
1,1.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.188,0.293|0.282|0.298|0.315,4,,,
2,2.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.125,0.287|0.265|0.299|0.274,4,,,
3,3.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.09,0.264|0.253|0.297|0.276,4,,,
4,4.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.09,0.269|0.265|0.271|0.285,4,,,
5,5.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.101,0.273|0.267|0.266|0.295,4,,,
6,6.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.088,0.278|0.27|0.269|0.271,4,,,
7,7.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.138,0.269|0.293|0.287|0.289,4,,,
8,8.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.13,0.279|0.277|0.28|0.294,4,,,
9,9.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.132,0.284|0.278|0.28|0.29,4,,,
10,10.wav,04/03/2005,A,1,EC1,0,5R3,0,5,1.132,0.297|0.277|0.275|0.283,4,,,
11,11.wav,25/03/2008,A,1,EC1,0,4R1,0,4,0.208,0.063|0.062|0.083,3,,,
12,12.wav,25/03/2008,A,1,EC1,0,5R1,0,5,0.339,0.09|0.077|0.076|0.096,4,,,
13,13.wav,25/03/2008,A,1,EC1,0,5R1,0,5,0.295,0.062|0.084|0.063|0.086,4,,,
14,14.wav,25/03/2008,A,1,EC1,0,5R1,0,5,0.27,0.062|0.063|0.062|0.083,4,,,
15,15.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.323,0.067|0.068|0.062|0.061|0.065,5,,,
16,16.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.359,0.073|0.072|0.063|0.065|0.086,5,,,
17,17.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.438,0.081|0.079|0.076|0.063|0.139,5,,,
18,18.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.347,0.07|0.058|0.062|0.067|0.09,5,,,
19,19.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.385,0.064|0.066|0.079|0.076|0.1,5,,,
20,20.wav,25/03/2008,A,1,EC1,0,6-NOISE,1,6,0.84,0.21|0.189|0.167|0.126|0.148,5,,,
21,21.wav,25/03/2008,A,1,EC1,0,6i,0,6,0.356,0.08|0.073|0.062|0.064|0.077,5,,,
22,22.wav,25/03/2008,A,1,EC1,0,6-NOISE,1,6,0.811,0.249|0.187|0.125|0.125|0.125,5,,,
23,23.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.392,0.05|0.058|0.063|0.06|0.063|0.098,6,,,
24,24.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.898,0.234|0.174|0.124|0.115|0.114|0.137,6,,,
25,25.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.954,0.224|0.202|0.138|0.118|0.117|0.155,6,,,
26,26.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.907,0.215|0.189|0.142|0.11|0.118|0.133,6,,,
27,27.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.925,0.238|0.177|0.124|0.137|0.106|0.143,6,,,
28,28.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.884,0.231|0.211|0.127|0.083|0.105|0.127,6,,,
29,29.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.975,0.251|0.217|0.125|0.127|0.107|0.148,6,,,
30,30.wav,25/03/2008,A,1,EC1,0,7D1,0,7,0.972,0.247|0.222|0.123|0.097|0.116|0.167,6,,,
31,31.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.343,0.046|0.056|0.056|0.055|0.058|0.072,6,,,
32,32.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.337,0.042|0.057|0.056|0.058|0.056|0.068,6,,,
33,33.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.357,0.066|0.058|0.054|0.059|0.056|0.064,6,,,
34,34.wav,25/03/2008,A,1,EC1,0,7i,0,7,0.364,0.06|0.065|0.056|0.051|0.049|0.083,6,,,
35,35.wav,25/03/2008,A,1,EC1,0,8-NOISE,1,8,0.868,0.188|0.133|0.117|0.105|0.097|0.1|0.128,7,,,
