synth_id,prompt_coda_id,prompt_clean_idx,unit,coda_type,audio_path
0,408,373,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0000.wav
1,254,222,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0001.wav
2,924,847,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0002.wav
3,602,554,D,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0003.wav
4,29,26,A,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0004.wav
5,1484,1365,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0005.wav
6,566,524,D,4R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0006.wav
7,101,90,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0007.wav
8,144,125,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0008.wav
9,945,857,F,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0009.wav
10,904,830,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0010.wav
11,409,374,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0011.wav
12,398,363,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0012.wav
13,547,505,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0013.wav
14,10,9,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0014.wav
15,952,864,F,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0015.wav
16,290,256,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0016.wav
17,1359,1247,F,3R,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0017.wav
18,110,96,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0018.wav
